42,9;52,45;50,05;0,19;439,4;596,6;371,7;0,53;0;86,6;70,34;93,48;84,06;41,9;52,35;49,4;0,21;439,4;391,5;339,1;0,67;0,38;80,06;57,86;83,49;55,41;42,9;53,15;50,25;0,2;439,4;515,6;362,4;0,58;0,86;84,62;70,58;97,85;91,51
45,9;52,55;50,5;0,13;257,6;490;238,6;0,45;0;93,76;82,04;95,77;83,16;44,5;52,4;49,5;0,16;257,6;349,4;220;0,54;0,15;88,23;62,7;89,05;69,15;45,75;52,95;50,7;0,14;257,6;502,9;239,7;0,44;0,27;94,38;83,25;94,6;87
42;52,7;49,8;0,21;1541;1752;1280;0,61;0;84,28;63,79;94,17;90,08;42,5;52,75;50,15;0,2;1541;1461;1297;0,75;0,33;85,3;71,47;94,2;85,59;41,7;53,15;50,45;0,23;1541;1548,7;1312,1;0,72;0,86;86,32;73,48;97,73;94,67
47,6;52,7;50,7;0,1;1095;1489;1035,7;0,66;0;95,46;83,33;93,86;83,74;47,2;52,55;50,55;0,11;1095;1244,43;1015,86;0,76;0,07;96,83;83,79;95,59;86,49;47,5;53,2;50,95;0,11;1095;1339,44;1031,98;0,73;0,93;95,1;86,61;97,36;93,04
44,2;52,6;49,35;0,17;1328;1399,49;1083,51;0,63;0;82,88;58,04;83,71;62,99;45,5;53,2;51,05;0,15;1328;1703,03;1259,23;0,7;0,77;95,53;89,27;97,84;95,71;44,5;53;50,7;0,17;1328;1598,3;1216,97;0,7;0,42;92,58;82,01;94,59;88,21
45,7;52,8;50,65;0,14;455,8;1062,7;425,4;0,37;0;94,46;83,56;87,7;77,92;46;53,35;50,95;0,14;455,8;878,4;423,15;0,45;1,35;94,19;84,8;96,77;92,92;46,1;52,85;50,85;0,13;455,8;873,7;431,2;0,47;0,12;95,5;86,55;94,98;88,05
46,3;52,65;50,85;0,12;267,5;732,7;247,4;0,31;0;93,26;80,05;95,96;88,11;45,3;52,4;50,05;0,14;267,5;432,8;242,5;0,51;0,1;92,38;75,39;94,7;88,2;42,4;52,9;50,55;0,21;267,5;511,8;250,4;0,46;0,31;94,58;84,71;94,7;87,29
42,25;51,9;48,05;0,2;579;670;333,1;0,29;0;59,65;34,96;89,92;82,49;43,85;51,6;49;0,16;579;566,3;459,6;0,64;0,01;82,1;50,07;92,7;79,23;38,5;52,7;49,45;0,29;579;562,5;418,6;0,54;0,32;74,44;57,01;95,47;89,65
45,4;52,8;50,4;0,15;424;708,8;385,6;0,49;0;92,47;77,7;93,9;84,18;42,2;52,3;49,6;0,2;424;444,6;355,02;0,67;0,11;86,56;64,84;94,03;81,57;44,75;53,15;50,7;0,17;424;555,6;382,9;0,62;0,53;92,18;80,68;97,94;93,62
44,8;52,6;49,95;0,16;972;1267;864,7;0,61;0;90,07;71,8;92,61;82,49;44,1;53;50,4;0,18;972;1061,3;883,3;0,76;0,5;92,13;79,37;84,12;70,69;46,7;53,15;51,15;0,13;972;1176;927,2;0,75;0,58;96,34;89,19;88,6;78,94
46,6;52,9;50,6;0,12;443,4;838,15;412,26;0,46;0;94,24;81,74;93,91;87,03;47,6;53,6;51,1;0,12;443,4;546,2;431,3;0,77;2,36;98,04;92,24;94,29;81,84;45,6;53,3;51,1;0,15;443,4;590,1;408,6;0,64;0,96;93,47;84,96;96,34;91,97
43,1;46,85;50;0,08;437,64;651,1;419,16;0,62;0;92,46;75,17;96,1;91,22;42,5;52,75;50,7;0,2;437,64;673,78;404,22;0,55;0;93,6;86;95,55;90,8;45,7;52,55;50,8;0,13;437,64;651,1;419,16;0,62;0,01;96,57;91,46;98,48;95,66
